Rank,Name,Symbol,marketcap,price (USD),country
654,Copart,CPRT,36968591360,38.19,United States
655,BeOne Medicines,ONC,36945367040,333.87,United States
658,Expedia Group,EXPE,36765794304,297.18,United States
660,Ciena,CIEN,36571561984,259.27,United States
661,Comfort Systems USA,FIX,36520538112,1035.12,United States
662,The Hershey Company,HSY,36515516416,180.07,United States
663,Keysight,KEYS,36480212992,212.32,United States
670,ResMed,RMD,36230291456,248.21,United States
677,Consolidated Edison,ED,35866173440,99.37,United States
682,Ventas,VTR,35554078720,75.69,United States
683,Intact Financial,IFC.TO,35534110822,199.98,Canada
686,Natera,NTRA,35475853312,254.4,United States
690,Teradyne,TER,35390681088,222.48,United States
691,Celestica,CLS,35186249728,305.87,Canada
692,Sun Life Financial,SLF,35064172544,62.76,Canada
696,Fidelity National Information Services,FIS,34858323968,66.73,United States
697,Old Dominion Freight Line,ODFL,34829066240,165.72,United States
705,Sysco,SYY,34535460864,72.12,United States
706,Fiserv,FI,34314950656,63.8,United States
708,WEC Energy Group,WEC,34168907776,105.04,United States
710,Ubiquiti,UI,34089740288,563.47,United States
711,Pacific Gas and Electric,PCG,34089592832,15.51,United States
714,EQT Corporation,EQT,34005620736,54.49,United States
715,Xylem,XYL,33946888192,139.43,United States
716,Power Corporation of Canada,POW.TO,33932797520,53.2645,Canada
727,Live Nation,LYV,33428844544,143.96,United States
732,Humana,HUM,33082310656,275.06,United States
734,Raymond James,RJF,32928260096,165.15,United States
737,M&T Bank,MTB,32746231808,209.55,United States
743,Synchrony,SYF,32528990208,87.43,United States
744,Fifth Third Bank,FITB,32503814144,49.17,United States
748,Kimberly-Clark,KMB,32379492352,97.56,United States
752,EchoStar,SATS,32288208896,112.16,United States
770,Dollar General,DG,31589257216,143.51,United States
791,Restaurant Brands International,QSR,30832664576,67.46,Canada
793,Verisk Analytics,VRSK,30682806272,219.61,United States
800,Mettler Toledo,MTD,30298509312,1470.87,United States
802,Coherent Corp.,COHR,30113775616,191.62,United States
807,Hewlett Packard Enterprise,HPE,29933578240,22.43,United States
808,Cenovus Energy,CVE,29899483136,15.85,Canada
812,Extra Space Storage,EXR,29668003840,133.88,United States
817,ULTA Beauty,ULTA,29385269248,655.36,United States
820,Emcor,EME,29141233664,650.97,United States
823,"Kellanova 
 (Kellogg's)",K,29031499776,83.44,United States
827,NRG Energy,NRG,28803780608,148.91,United States
829,LPL Financial,LPLA,28763922432,359.38,United States
834,Rollins,ROL,28604401664,59.45,United States
836,Huntington Bancshares,HBAN,28566929408,18.14,United States
845,Charter Communications,CHTR,28186916864,206.36,United States
847,Archer Daniels Midland (ADM),ADM,28122941440,58.52,United States
854,Lumentum,LITE,27860140032,392.88,United States
857,First Citizens BancShares,FCNCA,27733614592,2166.03,United States
866,DexCom,DXCM,27490082816,70.1,United States
867,Biogen,BIIB,27420123136,186.91,United States
870,Dover Corporation,DOV,27345608704,199.38,United States
872,Kraft Heinz,KHC,27235913728,23.01,United States
873,Northern Trust,NTRS,27192012800,142.62,United States
875,Markel Group,MKL,27143475200,2145.39,United States
878,Tapestry,TPR,27111512064,130.97,United States
884,Brown &amp; Brown,BRO,26907371520,78.81,United States
885,Atmos Energy,ATO,26874429440,166.15,United States
886,Dollar Tree,DLTR,26834008064,131.56,United States
887,Ameren,AEE,26797930496,99.07,United States
890,Cboe Global Markets,CBOE,26701094912,255.16,United States
891,DTE Energy,DTE,26637420544,128.26,United States
895,Tractor Supply,TSCO,26362054656,49.89,United States
896,Citizens Financial Group,CFG,26307975168,60.99,United States
897,Equifax,EFX,26302640128,213.5,United States
905,CoStar Group,CSGP,26132912128,61.66,United States
907,W. R. Berkley,WRB,26027651072,68.49,United States
910,George Weston,WN.TO,25965616480,67.9151,Canada
914,Halliburton,HAL,25902051328,30.38,United States
916,First Solar,FSLR,25873065984,241.11,United States
917,Fortis,FTS,25871425536,51.19,Canada
921,FirstEnergy,FE,25740777472,44.56,United States
922,Iron Mountain,IRM,25731067904,87.05,United States
925,Lennar,LEN,25667690496,103.93,United States
927,"Cheniere Energy
Partners",CQP,25654788096,53.0,United States
929,Broadridge Financial Solutions,BR,25618198528,219.47,United States
930,AvalonBay Communities,AVB,25557751808,179.5,United States
934,Cincinnati Financial,CINF,25495609344,163.04,United States
935,PPL,PPL,25476616192,34.44,United States
939,Regions Financial,RF,25395095552,28.46,United States
942,ON Semiconductor,ON,25311399936,61.89,United States
946,Leidos,LDOS,25224540160,196.61,United States
950,lululemon athletica,LULU,25107697664,211.72,Canada
952,WSP Global,WSP.TO,24991409665,185.387,Canada
953,Teledyne Technologies,TDY,24953509888,531.48,United States
956,Hubbell,HUBB,24882372608,468.2,United States
959,American Water,AWK,24840198144,127.27,United States
965,Steel Dynamics,STLD,24705347584,167.83,United States
966,FTAI Aviation,FTAI,24682123264,240.63,United States
969,CenterPoint Energy,CNP,24645777408,37.75,United States
970,Eversource Energy,ES,24619913216,65.62,United States
971,Omnicom Group,OMC,24619175936,77.58,United States
977,Constellation Brands,STZ,24454631424,140.49,United States
979,Equity Residential,EQR,24377223168,61.94,United States
982,Teck Resources,TECK,24338309120,49.72,Canada
990,Jabil,JBL,23979638784,224.45,United States
996,Waters Corporation,WAT,23783940096,399.41,United States
1002,Hydro One,H.TO,23488704814,39.1621,Canada
1004,PPG Industries,PPG,23450230784,103.9,United States
